Altium Designer Pick and Place Locations
E:\Altium\Projects\STM32F417 Demo Board\Project Outputs for STM32F417 Demo Board\Pick Place for PCB(Prototip_Assembly).csv

========================================================================================================================
File Design Information:

Date:       19-01-25
Time:       20:25
Revision:   Not in VersionControl
Variant:    Prototip_Assembly
Units used: mm

"Designator","Manufacturer Part Number","Layer","Description","Center-X(mm)","Center-Y(mm)","Rotation"
"C100","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","70.5000mm","35.5000mm","180"
"C101","GRM21BR60J226ME39K","TopLayer","Cap, Cer, 22uF, 6.3V, M2012","77.0000mm","39.0000mm","180"
"C102","GRM21BR60J226ME39K","TopLayer","Cap, Cer, 22uF, 6.3V, M2012","77.0000mm","40.5000mm","180"
"C104","GRM21BR60J226ME39K","TopLayer","Cap, Cer, 22uF, 6.3V, M2012","73.0000mm","39.0000mm","0"
"C105","GRM21BR60J226ME39K","TopLayer","Cap, Cer, 22uF, 6.3V, M2012","73.0000mm","40.5000mm","0"
"C106","0402N220J250CT","TopLayer","Cap, Cer, 22pF, 25V, M1005","80.0000mm","35.0000mm","0"
"C107","CC0402KRX7R9BB272","TopLayer","Cap, Cer, 2.7nF, 50V, M1005","81.5000mm","34.5000mm","90"
"C108","GRM21BR60J226ME39K","TopLayer","Cap, Cer, 22uF, 6.3V, M2012","88.5000mm","12.0000mm","90"
"C109","GRM21BR60J226ME39K","TopLayer","Cap, Cer, 22uF, 6.3V, M2012","90.0000mm","12.0000mm","90"
"C110","0402N220J250CT","TopLayer","Cap, Cer, 22pF, 25V, M1005","88.5000mm","7.5000mm","90"
"C111","GRM21BR60J226ME39K","TopLayer","Cap, Cer, 22uF, 6.3V, M2012","85.5000mm","13.5000mm","0"
"C112","GRM21BR60J226ME39K","TopLayer","Cap, Cer, 22uF, 6.3V, M2012","85.5000mm","15.0000mm","0"
"C200","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","64.0000mm","21.0000mm","90"
"C201","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","64.0000mm","24.0000mm","270"
"C202","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","44.0000mm","21.0000mm","90"
"C203","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","44.0000mm","24.0000mm","270"
"C600","04026D104KAT4A","BottomLayer","Cap, Cer, 100nF, 6.3V, M1005","26.0000mm","72.5000mm","0"
"C601","04026D104KAT4A","BottomLayer","Cap, Cer, 100nF, 6.3V, M1005","26.0000mm","82.5000mm","0"
"C602","04026D104KAT4A","BottomLayer","Cap, Cer, 100nF, 6.3V, M1005","27.5000mm","95.0000mm","270"
"C620","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","15.5000mm","32.5000mm","0"
"C621","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","19.5000mm","22.0000mm","270"
"C622","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","15.5000mm","22.5000mm","180"
"C623","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","15.5000mm","21.5000mm","0"
"C624","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","18.0000mm","22.0000mm","0"
"C640","04026D104KAT4A","BottomLayer","Cap, Cer, 100nF, 6.3V, M1005","24.0000mm","65.0000mm","90"
"C641","04026D104KAT4A","BottomLayer","Cap, Cer, 100nF, 6.3V, M1005","24.0000mm","59.0000mm","90"
"C660","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","56.5000mm","69.0000mm","270"
"C661","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","48.5000mm","72.0000mm","0"
"C662","CL10A475KQ8NNNC","TopLayer","Cap, Cer, 4.7uF, 6.3V, M1608","78.0000mm","22.4000mm","270"
"C663","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","80.5000mm","22.0000mm","180"
"C664","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","85.5000mm","27.5000mm","90"
"C665","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","83.0000mm","28.5000mm","90"
"C666","0402N220J250CT","TopLayer","Cap, Cer, 22pF, 25V, M1005","89.0000mm","23.5000mm","180"
"C667","0402N220J250CT","TopLayer","Cap, Cer, 22pF, 25V, M1005","89.0000mm","26.5000mm","180"
"C668","CC1206MKX7RDBB102","BottomLayer","Cap, Cer, 1nF, 2kV, M3216","97.0000mm","31.6000mm","0"
"C700","04026D104KAT4A","BottomLayer","Cap, Cer, 100nF, 6.3V, M1005","45.0000mm","50.5000mm","0"
"C701","0402N220J250CT","TopLayer","Cap, Cer, 22pF, 25V, M1005","32.5000mm","56.0000mm","270"
"C702","0402N220J250CT","TopLayer","Cap, Cer, 22pF, 25V, M1005","32.5000mm","54.0000mm","90"
"C703","CL10A475KQ8NNNC","BottomLayer","Cap, Cer, 4.7uF, 6.3V, M1608","52.5000mm","50.0000mm","180"
"C704","04026D104KAT4A","BottomLayer","Cap, Cer, 100nF, 6.3V, M1005","45.0000mm","44.5000mm","180"
"C705","04026D104KAT4A","BottomLayer","Cap, Cer, 100nF, 6.3V, M1005","45.0000mm","47.5000mm","0"
"C706","04026D104KAT4A","BottomLayer","Cap, Cer, 100nF, 6.3V, M1005","55.5000mm","56.0000mm","180"
"C707","04026D104KAT4A","BottomLayer","Cap, Cer, 100nF, 6.3V, M1005","44.5000mm","52.0000mm","90"
"C708","04026D104KAT4A","BottomLayer","Cap, Cer, 100nF, 6.3V, M1005","56.0000mm","45.0000mm","90"
"C709","04026D104KAT4A","BottomLayer","Cap, Cer, 100nF, 6.3V, M1005","44.0000mm","55.5000mm","0"
"C710","CL05A105MQ5NNNC","BottomLayer","Cap, Cer, 1uF, 6.3V, M1005","45.0000mm","48.5000mm","0"
"C711","CL05A105MQ5NNNC","BottomLayer","Cap, Cer, 1uF, 6.3V, M1005","47.5000mm","46.5000mm","90"
"C712","04026D104KAT4A","BottomLayer","Cap, Cer, 100nF, 6.3V, M1005","45.0000mm","45.5000mm","0"
"C713","04026D104KAT4A","BottomLayer","Cap, Cer, 100nF, 6.3V, M1005","45.0000mm","46.5000mm","0"
"C714","0402N160J500CT","TopLayer","Cap, Cer, 16pF, 50V, M1005","32.5000mm","48.0000mm","135"
"C715","04026D104KAT4A","BottomLayer","Cap, Cer, 100nF, 6.3V, M1005","44.5000mm","54.0000mm","90"
"C716","CL05A225MQ5NNNC","BottomLayer","Cap, Cer, 2.2uF, 6.3V, M1005","55.0000mm","45.0000mm","90"
"C717","CL05A225MQ5NNNC","BottomLayer","Cap, Cer, 2.2uF, 6.3V, M1005","55.5000mm","55.0000mm","180"
"C718","0402N160J500CT","TopLayer","Cap, Cer, 16pF, 50V, M1005","32.5000mm","51.5000mm","225"
"C740","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","33.0000mm","34.5000mm","90"
"C741","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","29.7500mm","39.0000mm","270"
"C742","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","30.0000mm","34.5000mm","90"
"C743","CL21A106MQFNNNE","TopLayer","Cap, Cer, 10uF, 6.3V, M2012","32.0000mm","38.5000mm","0"
"C744","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","20.5000mm","39.5000mm","0"
